1.1. 不住寂靜法則
- 對舌、味、舌識、舌觸及由此所生的一切心生厭離。
- 對身、觸、身識、身觸及由此所生的一切心生厭離。
- 對意、法、意識、意觸及由此所生的一切心生厭離。
435.2.2 解脫與證知
- 因厭離而離欲。
- 因離欲而心得解脫。
- 解脫時生起「我解脫」之智。
- 證知：生已盡，梵行已成，應作已作，不再受後有。

436.1. 可束縛之法與束縛的定義
436.1.1 可束縛之法
- 可束縛之法是指透過六種感官所認知的各種對象。
- 這些對象具有令人感到愉悅、可愛、快樂、喜愛的特質。
- 這些特質能夠引發心靈中的欲望念頭。
436.1.2 束縛
- 束縛是指心靈對於可束縛之法所產生的貪欲。
- 這種貪欲就是心靈被該對象所束縛的實際狀態。
436.2. 六種感官領域的束縛法則
436.2.1 感官對象的束縛通則
- 六種感官所認知的對象若具備愉悅特質，即為可束縛之法
- 對這些愉悅對象產生的貪欲即是實際束縛
436.2.2 具體感官領域
- 眼識之色：顏色與形狀
- 耳識之聲：聲音
- 鼻識之香：氣味
- 舌識之味：滋味
- 身識之觸：觸感
- 意識之法：觀念與事物

437.1. 取執的基本定義
437.1.1 可取執之法
- 眼所識之色
- 耳所識之聲
- 鼻所識之香
- 舌所識之味
- 身所識之觸
- 意所識之法
437.1.2 取執的本質
- 凡對上述「可取執之法」生起的欲染，即是取執。

438.1. 涅槃取著的總法則
438.1.1 核心法則
- 對六種感官對象（色、聲、香、味、觸、法）產生喜悅、讚美與戀著，心識便會依止並取著於這些對象，有此取著狀態者即無法在現世達到涅槃。
- 對六種感官對象（色、聲、香、味、觸、法）不產生喜悅、不加以讚美、不戀著而住，心識便不會依止，也不會取著於這些對象，無此取著狀態者即能在現世達到涅槃。

439.1. 現生不入涅槃之因緣
439.1.1 未聞解脫正法
- 未能從如來或具德比丘處，聽聞導向寂止之法。
439.1.2 未解脫五蓋煩惱
- 未能如實了知應捨棄之五種心靈障礙。
- 未能修習對治五蓋之法門。
439.1.3 未修習導向解脫之法
- 未能如實了知應修習導向涅槃之法。
- 未能精勤修習這些法門。
439.2. 現生得入涅槃之因緣
439.2.1 得聞解脫正法
- 能從如來或具德比丘處，聽聞導向寂止之法。
439.2.2 解脫五蓋煩惱
- 能如實了知應捨棄之五種心靈障礙。
- 能修習對治五蓋之法門。
439.2.3 修習導向解脫之法
- 能如實了知應修習導向涅槃之法。
- 能精勤修習這些法門。
439.3. 核心法則：聞思修之因果
439.3.1 法則概述
- 正確聽聞、如實了知、並精勤修習解脫法要，是現生證得涅槃之根本因緣。
439.3.2 法則應用
- 此法則普遍適用於對治五蓋與修習善法。
- 聽聞是認知之始，了知是思維之果，修習是實踐之行，三者具足，方能成就現法涅槃。

440.1. 五取蘊之如實知見
440.1.1 知見內容
- 五取蘊（色、受、想、行、識）之本質
- 五取蘊之生起原因
- 五取蘊之息滅
- 導向五取蘊息滅之道
440.2. 執著生起與息滅之過程
440.2.1 執著生起過程
- 於五取蘊生歡喜
- 因歡喜而執取
- 因執取而有未來之生
- 因有生故，有老死、愁悲苦憂惱
440.2.2 執著息滅過程  
- 於五取蘊不生歡喜
- 因不歡喜故無執取
- 因無執取故無未來之生
- 因無生故，老死、愁悲苦憂惱息滅

441.1. 梵行清淨的基礎法則
441.1.1 以親屬觀對治欲念
- 對與母親、姊妹、女兒年齡相當的女性，應生起如同對相應親屬的心念
441.1.2 以不淨觀對治貪著
- 觀察身體從腳掌以上到髮梢以下，皮膚之內充滿各種不淨物
- 具體觀察身體組成：毛髮、爪齒、皮肉、筋骨、內臟、體液等三十六種不淨物
441.2. 六根守護法則
441.2.1 守護方法
- 眼見色、耳聞聲、鼻嗅香、舌嘗味、身觸物、意識法時，皆不執取整體形象與局部細節
441.2.2 守護重點
- 若不守護眼根與意根，貪憂等不善法便會侵襲
- 應實踐守護眼根與意根，達到完全防護
441.3. 守護實踐成效
441.3.1 守護要點
- 守護身、語、心
- 建立正念
- 防護諸根
441.3.2 實踐結果
- 實踐守護要點則不為欲念所逼迫
- 不實踐守護要點則導致欲念強烈逼迫

442.1. 涅槃成就之核心法則
442.1.1 三階次第法則
- 必須依序經歷親近導師、聽聞正法、如理思惟、精進修習的完整過程
- 前一階段為後一階段生起之必要基礎
- 任何階段的缺失都將導致現生無法證得涅槃
442.2. 實踐要素歸納
442.2.1 外在因緣要素
- 能說正法之導師
- 正法教導內容
- 親近導師之機會
442.2.2 內在實踐要素
- 聽聞正法
- 如理思惟
- 精進修習
- 學習、實踐與安住法義
442.3. 法則應用說明
442.3.1 正反實踐對照
- 完整實踐三階次第法則即得現生涅槃
- 缺失任一環節即不得現生涅槃
- 聽聞正法為起始關鍵，精進修習為成就關鍵

443.1. 感官領域的運作法則
443.1.1 法則概述
- 感官、對象、識與觸四者結合，必然產生感受。
- 所產生的感受分為三類：樂受、苦受、非苦非樂受。
- 感受的類別取決於感官對象的性質（可意、不可意、可捨）與相應的觸（樂感、苦感、捨感）。
443.1.2 核心構成元素
- 感官：眼、耳、鼻、舌、身、意。
- 對象：色、聲、香、味、觸、法。
- 識：眼識、耳識、鼻識、舌識、身識、意識。
- 觸：樂感之觸、苦感之觸、捨感之觸。
- 感受：樂受、苦受、非苦非樂受。
443.2. 法則的普遍應用模式
443.2.1 感受生成模式
- 感官界與可意之對象結合，緣生相應之識與樂感之觸，產生樂受。
- 感官界與不可意之對象結合，緣生相應之識與苦感之觸，產生苦受。
- 感官界與可捨之對象結合，緣生相應之識與捨感之觸，產生非苦非樂受。

444.1. 感受生成的根本法則
444.1.1 核心法則：緣起序列
- 感官領域接觸對象，產生不同性質的觸。
- 不同性質的觸，引發不同類型的感受。
444.2. 法則的具體應用過程
444.2.1 感官領域與對象的互動
- 眼根看見合意的顏色，基於眼識與樂受性質的觸，產生樂受。
- 眼根看見不合意的顏色，基於眼識與苦受性質的觸，產生苦受。
- 眼根看見中性的顏色，基於眼識與非苦非樂受性質的觸，產生非苦非樂受。
444.2.2 法則的普遍適用性
- 此過程適用於所有六種感官領域：眼、耳、鼻、舌、身、意。
- 每一感官領域感知可意、不可意、中性的對象時，均遵循相同法則，分別產生樂受、苦受、非苦非樂受。

445.1. 感官解脫的核心法則
445.1.1 執著導致束縛
- 對感官對象生起樂欲、愛染、渴望
445.1.2 不執著導致解脫
- 對感官對象不生樂欲、愛染、渴望
445.2. 六種感官領域的應用
445.2.1 感官對象的類別
- 眼所識之色
- 耳所識之聲
- 鼻所識之香
- 舌所識之味
- 身所識之觸
- 意所識之法
445.3. 法則的普遍適用性
445.3.1 束縛與解脫的因果關係
- 對任何感官領域產生執著即導致束縛
- 對任何感官領域保持不執著即實現解脫
445.4. 解脫的實踐要點
445.4.1 心念態度的關鍵性
- 不在於感官對象本身
- 在於對對象的態度與內心是否產生執取
445.4.2 解脫的實現方法
- 通過不執著於感官經驗
- 通過斷除對六境的貪愛
- 通過淨化對境界的執取

446.1. 不守護根門的過失
446.1.1 不守護的表現
- 以眼見色時，心傾向可愛色，排斥不可愛色。
- 正念不現前，缺乏思慮而住。
- 不如實知心解脫與慧解脫。
- 所起的惡不善法不能消滅無餘。
446.1.2 六根不守護的共通模式
- 耳聞聲、鼻嗅香、舌味味、身觸觸、意識法時，心皆隨順喜好而動搖。
- 正念缺失，思慮不足。
- 不解脫知見，惡法不除。
446.2. 守護根門的方法
446.2.1 守護的實踐
- 以眼見色時，心不傾向可愛色，不排斥不可愛色。
- 正念現前，無量思慮而住。
- 如實知心解脫與慧解脫。
- 所起的惡不善法消滅無餘。
446.2.2 六根守護的共通法則
- 耳聞聲、鼻嗅香、舌味味、身觸觸、意識法時，心皆不隨順喜好而動搖。
- 正念堅固，思慮周全。
- 解脫知見清晰，惡法盡除。
446.3. 解脫的實現
446.3.1 心解脫與慧解脫
- 如實知心解脫與慧解脫是消除惡法的關鍵。
- 解脫知見能使惡不善法消滅無餘。
446.3.2 淨心與梵道
- 心淨無濁，對一切生類無邪障之心。
- 以此為基礎，可達至梵天道。

447.1. 阿羅漢說苦樂的法則
447.1.1 法則的定義
- 阿羅漢是否說苦樂，取決於六根是否存在。
447.1.2 法則的適用範圍
- 此法則普遍適用於六根。
447.2. 具體適用的六根清單
447.2.1 六根的內容
- 眼
- 耳
- 鼻
- 舌
- 身
- 意
447.3. 法則與六根的對應關係
447.3.1 普遍應用
- 對每一根而言，當該根存在時，阿羅漢就會說苦樂；當該根不存在時，阿羅漢就不說苦樂。

448.1. 修行者於六觸處之不放逸準則
448.1.1 無需修持不放逸之對象
- 指已達漏盡的阿羅漢，因其梵行已立、所作已辦，已達究竟解脫，故無需再於六觸處作不放逸。
448.1.2 必須修持不放逸之對象
- 指有學位的修行者，因其尚未達成最終目標，為求無上安穩（涅槃）而精進，故必須於六觸處作不放逸。
448.1.3 不放逸之實踐方法與成果
- 當眼、耳、鼻、舌、身、意六根，接觸色、聲、香、味、觸、法六境時，無論感受是快意或不快意，心皆不應執著。
- 心無執著時，即能生起精進而不動搖，保持正念，身體輕安不狂躁，心靈安定並能集中於一處。
- 此即為實踐不放逸所帶來的果報。
448.2. 六觸處所緣之境與執著過患
448.2.1 執著六境導致之苦
- 諸天與世人以色、聲、香、味、觸、法為樂趣與刺激的對象。
- 當這些對象變壞、離散、滅盡時，執著者便因此而住於痛苦之中。
448.2.2 聖者對六境之如實知見
- 聖者如實了知諸法（色、聲、香、味、觸、法）的生起與滅沒，其樂味、過患與出離之道。
- 聖者不以此等諸法為樂趣，不為其所刺激，因此當諸法變壞時，聖者仍能安住於平靜。
448.3. 捨離非己所有之內外諸處
448.3.1 應捨離之內六處
- 眼、耳、鼻、舌、身、意（內六處）並非修行者真正所能擁有，應當捨離。
- 能夠捨離這些，將為修行者帶來利益與安樂。
448.3.2 應捨離之外六境
- 色、聲、香、味、觸、法（外六境）並非修行者真正所能擁有，應當捨離。
- 能夠捨離這些，將為修行者帶來利益與安樂。
448.4. 通達諸法無常、苦、無我之實相
448.4.1 內六處之三相
- 眼、耳、鼻、舌、身、意（內六處）是無常、苦、無我的。
- 產生內六處的因緣條件，同樣是無常、苦、無我的。
- 依賴無常、苦、無我之因緣所生起的內六處，其本身不可能是常、樂、有我。
448.4.2 外六境之三相
- 色、聲、香、味、觸、法（外六境）是無常、苦、無我的。
- 產生外六境的因緣條件，同樣是無常、苦、無我的。
- 依賴無常、苦、無我之因緣所生起的外六境，其本身不可能是常、樂、有我。
448.4.3 通達實相之利益
- 有聞的聖弟子透過如此觀察，會對內六處與外六境產生厭離。
- 因厭離而無欲，因無欲而得到解脫，並證知不再受後有（輪迴）。

449.1. 業的分類與滅盡法則
449.1.1 業的定義與分類
- 舊業：過去行為、思惟與感受所累積形成的結果，體現於眼、耳、鼻、舌、身、意。
- 新業：當下透過身體、言語與意念所造作的一切行為。
449.1.2 業的滅盡與途徑
- 業的滅盡：經由身體行為、言語行為與意念行為的完全止息，而獲得的解脫狀態。
- 達到滅盡的途徑：八支聖道，其內容包括正見、正思惟、正語、正業、正命、正精進、正念、正定。

450.1. 通達涅槃的實踐道路
450.1.1 觀察六處的無常法則
- 觀察六根（眼、耳、鼻、舌、身、意）皆是無常的。
- 觀察六境（色、聲、香、味、觸、法）皆是無常的。
- 觀察六識（眼識、耳識、鼻識、舌識、身識、意識）皆是無常的。
- 觀察六觸（眼觸、耳觸、鼻觸、舌觸、身觸、意觸）皆是無常的。
- 觀察因六觸而產生的任何感受（樂受、苦受、不苦不樂受）皆是無常的。

451.1. 通達涅槃的核心法則
451.1.1 觀察六處為苦
- 觀察眼、耳、鼻、舌、身、意是苦。
- 觀察色、聲、香、味、觸、法是苦。
- 觀察眼識、耳識、鼻識、舌識、身識、意識是苦。
- 觀察眼觸、耳觸、鼻觸、舌觸、身觸、意觸是苦。
- 觀察凡緣六觸所生之受，無論是樂受、苦受或不苦不樂受，皆是苦。
451.1.2 觀察六處為無常
- 觀察眼、耳、鼻、舌、身、意是無常。
- 觀察色、聲、香、味、觸、法是無常。
- 觀察眼識、耳識、鼻識、舌識、身識、意識是無常。
- 觀察眼觸、耳觸、鼻觸、舌觸、身觸、意觸是無常。
- 觀察凡緣六觸所生之受，無論是樂受、苦受或不苦不樂受，皆是無常。
451.2. 實踐方法的統一性
451.2.1 法則的普遍應用
- 觀察六處為苦的法則，是通達涅槃的完整實踐路徑。
- 觀察六處為無常的法則，是通達涅槃的完整實踐路徑。

452.1. 通往涅槃的核心法則
452.1.1 觀察一切現象為無我
- 應以智慧觀察所有構成經驗的要素均非恆常不變的「我」，此為達成涅槃的實踐途徑。
452.2. 具體的觀察對象
452.2.1 六根與其對應的感知領域
- 眼、耳、鼻、舌、身、意。
452.2.2 與六根相對的外境
- 色、聲、香、味、觸、法。
452.2.3 根與境相互作用產生的識
- 眼識、耳識、鼻識、舌識、身識、意識。
452.2.4 根、境、識三者相遇的接觸點
- 眼觸、耳觸、鼻觸、舌觸、身觸、意觸。
452.2.5 因接觸而產生的各類感受
- 樂受、苦受、非苦非樂受。
452.3. 法則的普遍應用
452.3.1 將無我觀察應用於所有細節
- 對於六根、六境、六識、六觸及其所生的一切感受，均應觀察其為無我，此方法普遍適用於所有構成經驗的要素。

453.1. 通向涅槃的檢驗法則
453.1.1 檢驗的對象
- 眼、耳、鼻、舌、身、意
- 色、聲、香、味、觸、法
- 眼識、耳識、鼻識、舌識、身識、意識
- 眼觸、耳觸、鼻觸、舌觸、身觸、意觸
- 緣於六觸所生的樂受、苦受、不苦不樂受
453.1.2 檢驗的方法
- 觀察上述一切對象，確認其本質為無常。
- 確認凡是無常的，其本質即是苦。
- 確認凡是無常、苦的，皆是會變壞之法。
- 基於此確認，認識到不應對這些對象產生「這是我所有」、「這就是我」、「這是我的真我」的執著。
453.2. 檢驗後的修行成果
- 聖弟子因正確的觀察與認識，而對眼、色、眼識、眼觸及緣眼觸所生之受等一切對象生起厭離之心。
- 因厭離之心，便能遠離對這些對象的貪欲。
- 因遠離貪欲，便能親身體證，不再有下一生的輪迴。
453.3. 結論
- 上述的觀察與修行過程，即是達到涅槃成就的確定道路。

454.1. 修行根本原則
應修持無內住、無師範的梵行。有內住有師範則苦不安穩，無內住無師範則安穩安樂。
454.2. 有內住有師範的過患
454.2.1 產生機制
- 六根接觸六境時產生憶念與志望
- 憶念志望成為結縛因緣
- 由此生起諸惡不善法
454.2.2 定義特徵
- 惡不善法住於內心即為「內住」
- 惡不善法軌示於心即為「有師範」
454.3. 無內住無師範的功德
454.3.1 運作方式
- 六根接觸六境時雖有憶念志望
- 但不生起結縛緣起的惡不善法
- 惡法不住心亦不軌示心
454.3.2 定義特徵
- 惡不善法不住內心即為「無內住」
- 惡不善法不軌示心即為「無師範」
454.4. 修行實踐要點
應始終修持無內住、無師範的梵行，方能遠離痛苦不安，獲得安穩快樂。

455.1. 梵行的根本目的
455.1.1 核心目標：苦的徹底認知
- 修習梵行的終極目標是為了完全了知苦的本質。
455.2. 苦的具體範疇
455.2.1 認知對象：身心構成要素
- 眼、色、眼識、眼觸是苦，需認知。
- 耳、聲、耳識、耳觸是苦，需認知。
- 鼻、香、鼻識、鼻觸是苦，需認知。
- 舌、味、舌識、舌觸是苦，需認知。
- 身、觸、身識、身觸是苦，需認知。
- 意、法、意識、意觸是苦，需認知。
455.2.2 認知對象：感受經驗
- 緣眼觸、耳觸、鼻觸、舌觸、身觸、意觸所生之受，無論是樂、苦或非苦非樂，其本質皆是苦，需認知。

456.1. 解脫證知的非依賴途徑
- 不依賴信仰
- 不依賴個人愛好
- 不依賴傳聞
- 不依賴理論辯證
- 不依賴推理玄想
456.2. 智慧觀察的實踐方法
- 透過眼見色時，如實知內心貪瞋癡的有無
- 透過耳聞聲時，如實知內心貪瞋癡的有無
- 透過鼻嗅香時，如實知內心貪瞋癡的有無
- 透過舌味味時，如實知內心貪瞋癡的有無
- 透過身觸觸時，如實知內心貪瞋癡的有無
- 透過意識法時，如實知內心貪瞋癡的有無
- 內心有貪、瞋、癡時，清楚知曉「我內有貪、瞋、癡」
- 內心無貪、瞋、癡時，清楚知曉「我內無貪、瞋、癡」
456.3. 智慧證知的根本特性
- 唯有透過智慧才能如實知見
- 智慧是證知解脫的唯一途徑
456.4. 智慧觀察的實踐價值
- 智慧觀察六根對境時內心狀態，即是解脫證知的真實因由
- 基於此因由，能如實宣說解脫境界
- 建立不依賴外在權威的個人證知
- 提供直接體驗的修行方法
456.5. 解脫證知的真實境界
- 生已盡
- 梵行已修
- 所作已辦
- 不復再生

457.1. 諸根圓滿的核心法則
457.1.1 觀察生滅
- 對於眼根、耳根、鼻根、舌根、身根、意根，應觀察其生起與壞滅的現象。
457.1.2 生起厭離
- 持續觀察六根生滅的現象，會對六根生起厭嫌之心。
457.2. 解脫的過程與結果
457.2.1 離欲與解脫
- 因厭嫌六根，進而遠離對六根的貪欲。
- 因離欲而獲得解脫。
457.2.2 解脫的智慧
- 解脫時會生起智慧，確切證知：
  - 生命輪迴已徹底終結。
  - 清淨的修行生活已圓滿建立。
  - 應作的修行都已完成。
  - 不再有未來的生死輪迴。
457.3. 諸根圓滿的定義
- 完整實踐上述觀察六根生滅至證得解脫智慧的過程，即稱為諸根圓滿。

458.1. 核心修行法則
   對所有感官認知功能實踐厭離、離欲與滅盡，即可達成無執取解脫。
458.2. 實踐方法統整
   - 對感官認知生起厭離
   - 對感官認知生起離欲  
   - 對感官認知達到滅盡
458.3. 適用範圍歸納
   - 眼之認知
   - 耳之認知
   - 鼻之認知
   - 舌之認知
   - 身之認知
   - 意之認知
458.4. 法則應用說明
   核心修行法則普遍適用於所有六種感官認知功能，透過相同實踐方法皆能達成無執取解脫。

459.1. 解脫的根本法則
459.1.1 解脫的次第過程
- 以正見觀照諸法為無常、苦、無我。
- 由正確觀照而生起厭離之心。
- 因厭離而導致對諸法的喜悅消盡。
- 喜悅消盡則導致對諸法的染欲消盡。
- 喜悅與染欲皆消盡，即稱為心善解脫。
459.2. 正見的觀察對象
459.2.1 內六處
- 眼、耳、鼻、舌、身、意。
459.2.2 外六境
- 色、聲、香、味、觸、法。
459.2.3 六識
- 眼識、耳識、鼻識、舌識、身識、意識。
459.2.4 六觸
- 眼觸、耳觸、鼻觸、舌觸、身觸、意觸。
459.2.5 諸受
- 緣於六觸所生起的感受，無論是樂受、苦受或不苦不樂受。
459.3. 法則的普遍應用
459.3.1 三法印的應用
- 上述所有觀察對象（2.1至2.5），均應以無常、苦、無我這三種正見來觀照。
459.3.2 實踐方法
- 應修習禪定，心得定後，即能如實顯現諸法實相。
- 應將心專注於寂靜之想，入於寂想後，即能如實顯現諸法實相。
- 對於凡是具備無常、苦、無我性質的一切法，都應當捨棄對它們的貪欲。
459.4. 正見的淨化功能
459.4.1 捨棄邪見
- 如實知見諸法為無常，即能捨棄邪見。
459.4.2 捨棄己身見
- 如實知見諸法為苦，即能捨棄己身見（薩迦耶見）。
459.4.3 捨棄我隨見
- 如實知見諸法為無我，即能捨棄我隨見（我見）。

460.1. 捨離對諸法的欲貪
460.1.1 捨離對六根的欲貪
- 眼是無常、苦、無我，應捨欲念、染心、欲染、貪、欲貪。
- 耳是無常、苦、無我，應捨欲念、染心、欲染、貪、欲貪。
- 鼻是無常、苦、無我，應捨欲念、染心、欲染、貪、欲貪。
- 舌是無常、苦、無我，應捨欲念、染心、欲染、貪、欲貪。
- 身是無常、苦、無我，應捨欲念、染心、欲染、貪、欲貪。
- 意是無常、苦、無我，應捨欲念、染心、欲染、貪、欲貪。
460.1.2 捨離對六塵的欲貪
- 色是無常、苦、無我，應捨欲、捨貪、捨欲貪。
- 聲是無常、苦、無我，應捨欲、捨貪、捨欲貪。
- 香是無常、苦、無我，應捨欲、捨貪、捨欲貪。
- 味是無常、苦、無我，應捨欲、捨貪、捨欲貪。
- 觸是無常、苦、無我，應捨欲、捨貪、捨欲貪。
- 法是無常、苦、無我，應捨欲、捨貪、捨欲貪。

461.1. 觀六根與六境的三法印
461.1.1 無常、苦、無我的普遍法則
- 眼、耳、鼻、舌、身、意、色、聲、香、味、觸、法，無論處於過去、現在或未來，其本質皆是無常、苦、無我。
461.2. 觀後修行次第
- 如實觀察六根與六境的無常、苦、無我本質後，修行者會對其產生厭離之心。
- 因厭離之心而遠離對六根六境的貪欲。
- 因遠離貪欲而獲得心靈的解脫。
- 於解脫時，生起「我已解脫」的智慧。
- 最終證知：生命輪迴已盡，清淨修行已成立，所應修行之事已完成，不再有下一生的輪迴。

462.1. 觀照法則總綱
462.1.1 根本認知法則
- 凡是無常者，即是苦
- 凡是苦者，即是無我
- 凡是無我者，應認知為「此非我所，非我，非我之我」
462.1.2 實踐方法
- 應以正智慧如實觀照
- 透過如是觀照，能證知真理，不再受生
462.2. 觀照對象與內容體系
462.2.1 觀照對象
- 六根：眼、耳、鼻、舌、身、意
- 六境：色、聲、香、味、觸、法
462.2.2 觀照內容
- 無常性
- 苦性
- 無我性
462.3. 觀照實踐要點
462.3.1 統一觀照模式
- 對任一觀照對象，在任何時間維度（過去、現在、未來），都應遵循「無常→苦→無我」的認知序列
- 對無我性的認知都應歸結為「此非我所，非我，非我之我」的如實知見
462.3.2 觀照成果
- 透過如是觀照，能徹底證知真理
- 從此不再受生死輪迴束縛

463.1. 內六處的觀察法則
463.1.1 無常特性
- 眼是無常的
- 耳是無常的
- 鼻是無常的
- 舌是無常的
- 身是無常的
- 意是無常的
463.1.2 苦的特性
- 眼是苦的
- 耳是苦的
- 鼻是苦的
- 舌是苦的
- 身是苦的
- 意是苦的
463.1.3 無我特性
- 眼是無我的
- 耳是無我的
- 鼻是無我的
- 舌是無我的
- 身是無我的
- 意是無我的
463.2. 外六處的觀察法則
463.2.1 無常特性
- 色是無常的
- 聲是無常的
- 香是無常的
- 味是無常的
- 觸是無常的
- 法是無常的
463.2.2 苦的特性
- 色是苦的
- 聲是苦的
- 香是苦的
- 味是苦的
- 觸是苦的
- 法是苦的
463.2.3 無我特性
- 色是無我的
- 聲是無我的
- 香是無我的
- 味是無我的
- 觸是無我的
- 法是無我的
463.3. 觀照的結果
- 如是觀照的有聞聖弟子能夠證知真理

464.1. 世俗認知與聖教真理的區別
464.1.1 凡夫所稱的海
        - 凡夫所說的「海」，在聖者的教法中並非真正的海，只是大水體的積聚。
464.1.2 聖教所定義的六根之海
        - 在聖者的教法中，人的六種感官被定義為「海」。
464.2. 六根之海的構成與危險
464.2.1 六根與其對應的急流
        - 眼、耳、鼻、舌、身、意六根是人的海，其急流分別由色、聲、香、味、觸、法六境所形成。
464.2.2 海中潛藏的危險
        - 這些海具有波濤、漩渦，是鬼與羅剎棲息之處。
464.3. 解脫的關鍵與境界
464.3.1 度越六根之海的條件
        - 能夠抵禦、承受由六境所形成之欲望急流的人。
464.3.2 解脫者的成就
        - 此人能夠度越這充滿波濤、漩渦及鬼羅剎的六根之海，被稱為「已到達彼岸，安穩立足於陸地之上」。
        - 這是度過了難以渡過的波濤之海，獲得了最高的智慧，已經建立了清淨的修行生活，到達了世界的邊際。

465.1. 聖教所定義的「海」
465.1.1 世俗認知與聖教定義的區別
- 世俗所稱的「海」，是指大水體的積聚。
- 在聖者的教法中，真正的「海」並非指物質的水體。
465.1.2 聖教中「海」的真實意涵
- 聖教所稱的「海」，是指透過六種感官所感知到的各種對境。
- 這些對境具有令人感到快意、可愛、歡樂與喜悅的特質。
- 這些特質會誘發並增長眾生的欲望與貪念。
465.2. 構成「海」的六種感官對境

- 眼所識別的色彩與形狀（色）
- 耳所識別的聲音（聲）
- 鼻所識別的氣味（香）
- 舌所識別的滋味（味）
- 身所識別的觸感（觸）
- 意所識別的思想與概念（法）
465.3. 沉溺於「海」的後果
465.3.1 沉溺的普遍性
- 所有眾生，包括天界、魔界、梵天界的存在，以及沙門、婆羅門、天、人等，大多都沉溺其中。
465.3.2 沉溺的束縛狀態
- 沉溺的狀態如同糾結的絲線，難以理清。
- 如同被包裹的腫物，無法解脫。
- 如同文邪草、婆羅婆草般雜亂纏繞。
465.3.3 無法逃脫的輪迴困境
- 因沉溺於六境之海，眾生無法超越其束縛。
- 導致無法脫離應離去的苦難處所。
- 最終墮入惡趣及極端痛苦的境地。
- 持續在生死輪迴中流轉，不得出離。

466.1. 離欲解脫法則
466.1.1 解脫核心
- 徹底遠離貪欲、瞋恚與無明，即能渡過生死之海。
466.1.2 解脫境界
- 超越生死輪迴，捨棄一切生命形態。
- 斷絕再生根源，進入苦難止息的寂靜境界。
- 脫離生死束縛，不再受死亡主宰。
466.2. 世間誘餌辨識
466.2.1 陷阱本質
- 世間存在六種誘餌，會導致眾生不幸與毀損。
466.2.2 六根對境
- 眼識愉悅形色
- 耳識愉悅聲音
- 鼻識愉悅氣味
- 舌識愉悅味道
- 身識愉悅觸感
- 意識愉悅意念
466.3. 離欲法則實踐
466.3.1 沉淪機制
- 對六種誘餌歡喜、讚嘆、執著，即吞下魔王釣鉤
- 結果：陷入不幸毀滅，成為魔王俘虜
466.3.2 解脫實踐
- 對六種誘餌不歡喜、不讚嘆、不執著，即不吞釣鉤
- 結果：折毀釣鉤，避免不幸毀滅，不為魔王俘虜

467.1. 核心法則：煩惱有無決定心擾
467.1.1 法則陳述
- 六識感知外境時，內心貪瞋癡煩惱的存在與否，是心是否被外境擾動的根本原因。
467.2. 具體細節歸納
467.2.1 感知構成元素
- 感知主體：眼識、耳識、鼻識、舌識、身識、意識。
- 感知對象：色、聲、香、味、觸、法。
467.2.2 煩惱狀態與影響程度
- 煩惱未除：極少量外境即可擾亂其心，大量外境更甚。
- 煩惱已除：大量外境亦無法擾亂其心，少量外境更如是。
467.3. 法則應用
467.3.1 普遍適用關係
- 上述核心法則普遍適用於所有感知細節：無論何種識感知何種外境，心是否受擾動的唯一決定因素，是內心貪瞋癡煩惱的有無，而非外境數量的多寡。

468.1. 繫縛的根本法則
468.1.1 繫縛的真正根源
- 感官與其對象並非互相繫縛。
- 真正的繫縛是兩者為緣所生的欲染。
468.1.2 法則的普遍適用性
- 眼與色、耳與聲、鼻與香、舌與味、身與觸、意與法，皆適用此一法則。
- 所有感官領域的繫縛原理完全相同。
468.2. 繫縛原理的驗證
468.2.1 反證推論
- 若感官或對象本身即是繫縛，則梵行無法導向苦的滅盡。
- 正因繫縛在於欲染，故梵行能達成苦的滅盡。
468.3. 解脫的實例證明
468.3.1 圓滿解脫的狀態
- 具足感官功能，接觸對象時，心中無欲染。
- 此即善得心解脫的狀態。

469.1. 根塵非互為繫縛
469.1.1 六根與六塵的關係
- 眼並非色塵的繫縛，色塵也並非眼的繫縛。
- 耳並非聲塵的繫縛，聲塵也並非耳的繫縛。
- 鼻並非香塵的繫縛，香塵也並非鼻的繫縛。
- 舌並非味塵的繫縛，味塵也並非舌的繫縛。
- 身並非觸塵的繫縛，觸塵也並非身的繫縛。
- 意並非法塵的繫縛，法塵也並非意的繫縛。
469.2. 繫縛的真實來源
469.2.1 欲染為繫縛
- 真正的繫縛，是因六根與六塵接觸為緣，而產生的欲染。

470.1. 識的緣起與無我法則
470.1.1 識依因緣生滅
   - 識的產生依賴於根與境的結合。
   - 若根與境等因緣完全滅盡，識便不存在。
   - 識的存在完全依賴其生起的條件，沒有自性。
   - 因此，識的本質是無我。
470.2. 六識生起的具體因緣
   - 眼與色為緣，生眼識。
   - 耳與聲為緣，生耳識。
   - 鼻與香為緣，生鼻識。
   - 舌與味為緣，生舌識。
   - 身與觸為緣，生身識。
   - 意與法為緣，生意識。
470.3. 解脫的實踐與證知
   - 在六觸處不執著我與我所。
   - 不執著則不生愛慕。
   - 無愛慕則能獨自入於涅槃。
   - 了知生命已盡。
   - 清淨修行已確立。
   - 應作之事已完成。
   - 不再有未來的再生。

471.1. 不應執取感官對象的法則
471.1.1 避免執著六境形相
- 對於眼根所識別的色境，不應仔細執著其形相。
